Date,SPOT
2023-04-24,7.296782755098784
2023-04-25,7.325605891586719
2023-04-26,7.315121048523721
2023-04-27,7.38477315481996
2023-04-28,7.412007055510982
2023-05-01,7.460183872901275
2023-05-02,7.461714045259237
2023-05-03,7.461517807553717
2023-05-04,7.4610152426618805
2023-05-05,7.463114816805349
2023-05-08,7.465384759525298
2023-05-09,7.465384759525298
2023-05-10,7.465384759525298
2023-05-11,7.465384759525298
2023-05-12,7.465384759525298
2023-05-15,7.465384759525298
2023-05-16,7.4653402372022
2023-05-17,7.46515016749734
2023-05-18,7.467155600652803
2023-05-19,7.470512235742894
2023-05-22,7.473191489361702
2023-05-23,7.476055562846934
2023-05-24,7.473671048249708
2023-05-25,7.432504223629021
2023-05-26,7.348244829384347
2023-05-29,7.35
2023-05-30,7.35
2023-05-31,7.35
2023-06-01,7.35
2023-06-02,7.35
2023-06-05,7.35
2023-06-06,7.35
2023-06-07,7.35
2023-06-08,7.35
2023-06-09,7.35
2023-06-12,7.35
2023-06-13,7.3471380403968825
2023-06-14,7.468131742086071
2023-06-15,7.289301330198118
2023-06-16,7.563147802333198
2023-06-19,7.65
2023-06-20,7.649088480216747
2023-06-21,7.649557377120807
2023-06-22,7.651285103284079
2023-06-23,7.655507214116671
2023-06-26,7.658032859050379
2023-06-27,7.64139583869135
2023-06-28,7.6724864538204764
2023-06-29,7.746842250556964
2023-06-30,7.810500480142968
2023-07-03,7.85
2023-07-04,7.828319570136503
2023-07-05,7.842633765828026
2023-07-06,7.778666598757118
2023-07-07,7.803677513314914
2023-07-10,7.705
2023-07-11,7.625751247176606
2023-07-12,7.643224129650809
2023-07-13,7.755965293485618
2023-07-14,7.843380505274022
2023-07-17,7.95
2023-07-18,7.927612930170684
2023-07-19,8.009779350095677
2023-07-20,7.977312732538906
2023-07-21,7.9957308083774175
2023-07-24,8.06
2023-07-25,8.08342693606111
2023-07-26,8.053268537794056
2023-07-27,8.031464976370525
2023-07-28,8.042540382836284
2023-07-31,8.01
2023-08-01,8.04042288850137
2023-08-02,8.021785165870154
2023-08-03,8.079578025622412
2023-08-04,8.06333631682616
2023-08-07,8.18
2023-08-08,8.18043243913308
2023-08-09,8.20720581652307
2023-08-10,8.203678484256272
2023-08-11,8.201436374997645
2023-08-14,8.241146190972287
2023-08-15,8.235233318543607
2023-08-16,8.24927599696229
2023-08-17,8.248821755041728
2023-08-18,8.281204697295578
2023-08-21,8.289956933425751
2023-08-22,8.293242411863783
2023-08-23,8.29429474725909
2023-08-24,8.314633517850893
2023-08-25,8.356853011823933
2023-08-28,8.346732240429372
2023-08-29,8.370167174150822
2023-08-30,8.35663253457473
2023-08-31,8.371592152842053
2023-09-01,8.370406162116545
2023-09-04,8.386170212765958
