Date,SPOT
2023-04-24,7.296782755098784
2023-04-25,7.289268649744668
2023-04-26,7.356632063098673
2023-04-27,7.364707787235437
2023-04-28,7.40497652256659
2023-05-01,7.460183872901275
2023-05-02,7.46087304027884
2023-05-03,7.461678693697543
2023-05-04,7.463124779986768
2023-05-05,7.465198843505663
2023-05-08,7.465384759525298
2023-05-09,7.465384759525298
2023-05-10,7.465384759525298
2023-05-11,7.465384759525298
2023-05-12,7.465384759525298
2023-05-15,7.465384759525298
2023-05-16,7.465837707324012
2023-05-17,7.4674580991718535
2023-05-18,7.470231939624767
2023-05-19,7.469030890463202
2023-05-22,7.473191489361702
2023-05-23,7.4809435215634466
2023-05-24,7.391776259420458
2023-05-25,7.487254332421507
2023-05-26,7.39865260597849
2023-05-29,7.35
2023-05-30,7.35
2023-05-31,7.35
2023-06-01,7.35
2023-06-02,7.35
2023-06-05,7.35
2023-06-06,7.35
2023-06-07,7.35
2023-06-08,7.35
2023-06-09,7.35
2023-06-12,7.35
2023-06-13,7.375361372695076
2023-06-14,7.378966672662383
2023-06-15,7.453340031300916
2023-06-16,7.50561473650447
2023-06-19,7.65
2023-06-20,7.652969616950065
2023-06-21,7.647927531723869
2023-06-22,7.654507186871877
2023-06-23,7.6537344889551004
2023-06-26,7.658032859050379
2023-06-27,7.599701687541252
2023-06-28,7.799584888559922
2023-06-29,7.73649761478226
2023-06-30,7.768831079449427
2023-07-03,7.85
2023-07-04,7.830582533342803
2023-07-05,7.7920382647490705
2023-07-06,7.762409161055718
2023-07-07,7.80258350164284
2023-07-10,7.705
2023-07-11,7.748066341006856
2023-07-12,7.7905425922078555
2023-07-13,7.728207172482415
2023-07-14,7.904760215114544
2023-07-17,7.95
2023-07-18,7.942281585278791
2023-07-19,7.969791330707916
2023-07-20,7.992766563232506
2023-07-21,7.987849615785097
2023-07-24,8.06
2023-07-25,8.072342630537477
2023-07-26,8.042283883953237
2023-07-27,8.044006092676451
2023-07-28,8.036985618717615
2023-07-31,8.01
2023-08-01,7.9701690863137316
